,,,"Toronto, City [Census subdivision], Ontario",,,,,,"Toronto, Census division [Census division], Ontario"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Knowledge of languages","        Quebec Sign Language",,      10,,       0,,      10,,      10,,       0,,      10,
"Knowledge of languages","        Sign languages; n.i.e.",,    1195,,     645,,     545,,    1195,,     650,,     545,
"Knowledge of languages","      Sino-Tibetan languages",,  279900,,  129990,,  149910,,  279900,,  129990,,  149910,
"Knowledge of languages","        Chinese languages",,  273760,,  126965,,  146795,,  273765,,  126960,,  146800,
"Knowledge of languages","          Cantonese",,  141260,,   64620,,   76645,,  141260,,   64620,,   76645,
"Knowledge of languages","          Hakka",,    3035,,    1265,,    1775,,    3035,,    1260,,    1770,
"Knowledge of languages","          Mandarin",,  150735,,   69900,,   80840,,  150735,,   69895,,   80840,
"Knowledge of languages","          Min Dong",,     460,,     205,,     255,,     460,,     205,,     255,
"Knowledge of languages","          Min Nan (Chaochow; Teochow; Fukien; Taiwanese)",,    7235,,    3195,,    4045,,    7235,,    3190,,    4045,
"Knowledge of languages","          Wu (Shanghainese)",,    3225,,    1490,,    1735,,    3225,,    1490,,    1735,
"Knowledge of languages","          Chinese; n.o.s.",,    7055,,    3155,,    3900,,    7055,,    3155,,    3895,
"Knowledge of languages","          Chinese languages; n.i.e.",,      75,,      50,,      30,,      75,,      45,,      30,
"Knowledge of languages","        Tibeto-Burman languages",,    6400,,    3170,,    3230,,    6400,,    3170,,    3230,
"Knowledge of languages","          Burmese",,     885,,     400,,     485,,     885,,     400,,     485,
"Knowledge of languages","          Karenic languages",,     250,,     110,,     130,,     245,,     115,,     135,
"Knowledge of languages","          Tibetan",,    5045,,    2515,,    2525,,    5045,,    2515,,    2525,
"Knowledge of languages","          Tibeto-Burman languages; n.i.e.",,     295,,     170,,     125,,     295,,     170,,     120,
"Knowledge of languages","      Tai-Kadai languages",,    2205,,     875,,    1330,,    2205,,     875,,    1330,
"Knowledge of languages","        Lao",,     850,,     380,,     465,,     845,,     380,,     460,
"Knowledge of languages","        Thai",,    1455,,     540,,     915,,    1455,,     540,,     915,
"Knowledge of languages","        Tai-Kadai languages; n.i.e.",,      15,,      10,,      10,,      20,,      10,,      10,
"Knowledge of languages","      Turkic languages",,   15395,,    8125,,    7275,,   15400,,    8125,,    7275,
"Knowledge of languages","        Azerbaijani",,    1465,,     760,,     710,,    1470,,     760,,     705,
"Knowledge of languages","        Turkish",,   13000,,    6905,,    6090,,   13000,,    6905,,    6095,
"Knowledge of languages","        Uyghur",,     320,,     150,,     170,,     325,,     150,,     175,
"Knowledge of languages","        Uzbek",,     630,,     345,,     285,,     630,,     345,,     290,
"Knowledge of languages","        Turkic languages; n.i.e.",,     380,,     160,,     220,,     380,,     160,,     220,
"Knowledge of languages","      Uralic languages",,   17065,,    7680,,    9385,,   17070,,    7680,,    9390,
"Knowledge of languages","        Estonian",,    1985,,     855,,    1130,,    1985,,     850,,    1130,
"Knowledge of languages","        Finnish",,    1430,,     585,,     850,,    1435,,     580,,     855,
"Knowledge of languages","        Hungarian",,   13700,,    6260,,    7445,,   13700,,    6260,,    7440,
"Knowledge of languages","        Uralic languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","      Other languages; n.i.e.",,    1315,,     675,,     635,,    1310,,     675,,     635,
"Citizenship","Total - Citizenship for the population in private households - 25% sample data",45, 2691665,, 1296270,, 1395395,, 2691665,, 1296270,, 1395395,
"Citizenship","  Canadian citizens",46, 2296370,, 1108000,, 1188365,, 2296365,, 1108000,, 1188365,
"Citizenship","    Canadian citizens aged under 18",,  431655,,  221480,,  210180,,  431655,,  221480,,  210175,
"Citizenship","    Canadian citizens aged 18 and over",, 1864710,,  886525,,  978190,, 1864715,,  886525,,  978190,
"Citizenship","  Not Canadian citizens",47,  395295,,  188270,,  207025,,  395300,,  188270,,  207025,
"Immigrant status and period of immigration","Total - Immigrant status and period of immigration for the population in private households - 25% sample data",48, 2691665,, 1296270,, 1395390,, 2691665,, 1296270,, 1395395,
"Immigrant status and period of immigration","  Non-immigrants",49, 1332090,,  665435,,  666655,, 1332090,,  665435,,  666655,
"Immigrant status and period of immigration","  Immigrants",50, 1266005,,  583975,,  682030,, 1266005,,  583970,,  682030,
"Immigrant status and period of immigration","    Before 1981",,  294065,,  133310,,  160755,,  294065,,  133310,,  160755,
"Immigrant status and period of immigration","    1981 to 1990",,  171565,,   81205,,   90365,,  171565,,   81200,,   90360,
"Immigrant status and period of immigration","    1991 to 2000",,  281870,,  127730,,  154145,,  281870,,  127730,,  154140,
"Immigrant status and period of immigration","    2001 to 2010",,  330550,,  152950,,  177600,,  330550,,  152950,,  177600,
"Immigrant status and period of immigration","      2001 to 2005",,  162770,,   75700,,   87070,,  162775,,   75700,,   87070,
"Immigrant status and period of immigration","      2006 to 2010",,  167780,,   77250,,   90530,,  167780,,   77250,,   90530,
"Immigrant status and period of immigration","    2011 to 2016",51,  187950,,   88780,,   99170,,  187950,,   88780,,   99170,
"Immigrant status and period of immigration","  Non-permanent residents",52,   93575,,   46865,,   46715,,   93580,,   46865,,   46715,
"Age at immigration","Total - Age at immigration for the immigrant population in private households - 25% sample data",53, 1266000,,  583975,,  682030,, 1266000,,  583970,,  682030,
"Age at immigration","  Under 5 years",,   96800,,   47595,,   49205,,   96800,,   47595,,   49205,
"Age at immigration","  5 to 14 years",,  205920,,  102700,,  103215,,  205915,,  102700,,  103220,
"Age at immigration","  15 to 24 years",,  270470,,  120040,,  150425,,  270470,,  120040,,  150430,
"Age at immigration","  25 to 44 years",,  558625,,  254865,,  303760,,  558625,,  254865,,  303765,
"Age at immigration","  45 years and over",,  134190,,   58775,,   75420,,  134195,,   58775,,   75415,
"Immigrants by selected place of birth","Total - Selected places of birth for the immigrant population in private households - 25% sample data",54, 1266000,,  583975,,  682030,, 1266005,,  583975,,  682030,
"Immigrants by selected place of birth","  Americas",,  212010,,   92485,,  119525,,  212010,,   92485,,  119525,
"Immigrants by selected place of birth","    Brazil",,    7025,,    3360,,    3660,,    7025,,    3365,,    3660,
"Immigrants by selected place of birth","    Colombia",,    8710,,    3995,,    4720,,    8715,,    3995,,    4715,
"Immigrants by selected place of birth","    El Salvador",,    6960,,    3500,,    3460,,    6955,,    3495,,    3460,
"Immigrants by selected place of birth","    Guyana",,   34490,,   14700,,   19790,,   34490,,   14700,,   19790,
"Immigrants by selected place of birth","    Haiti",,    1855,,     835,,    1020,,    1850,,     830,,    1020,
"Immigrants by selected place of birth","    Jamaica",,   45075,,   18280,,   26795,,   45075,,   18280,,   26795,
"Immigrants by selected place of birth","    Mexico",,    7225,,    3340,,    3890,,    7225,,    3335,,    3890,
"Immigrants by selected place of birth","    Peru",,    3865,,    1725,,    2145,,    3870,,    1725,,    2145,
"Immigrants by selected place of birth","    Trinidad and Tobago",,   19640,,    8305,,   11330,,   19640,,    8305,,   11335,
"Immigrants by selected place of birth","    United States",55,   24530,,   11480,,   13050,,   24535,,   11480,,   13050,
"Immigrants by selected place of birth","    Other places of birth in Americas",,   52630,,   22965,,   29665,,   52630,,   22970,,   29660,
"Immigrants by selected place of birth","  Europe",,  298270,,  139045,,  159220,,  298270,,  139045,,  159225,
"Immigrants by selected place of birth","    Bosnia and Herzegovina",,    5125,,    2445,,    2685,,    5125,,    2445,,    2685,
"Immigrants by selected place of birth","    Croatia",,    4680,,    2195,,    2475,,    4675,,    2200,,    2475,
"Immigrants by selected place of birth","    France",,    4585,,    2175,,    2410,,    4585,,    2175,,    2415,
"Immigrants by selected place of birth","    Germany",,   11090,,    5220,,    5870,,   11090,,    5215,,    5870,
"Immigrants by selected place of birth","    Greece",,   19235,,    9185,,   10050,,   19240,,    9185,,   10055,
"Immigrants by selected place of birth","    Hungary",,    7860,,    3580,,    4280,,    7855,,    3575,,    4280,
"Immigrants by selected place of birth","    Ireland",56,    4625,,    2400,,    2225,,    4625,,    2400,,    2225,
"Immigrants by selected place of birth","    Italy",,   45515,,   21350,,   24165,,   45515,,   21350,,   24165,
"Immigrants by selected place of birth","    Netherlands",,    2690,,    1355,,    1335,,    2690,,    1355,,    1335,
"Immigrants by selected place of birth","    Poland",,   21360,,    9265,,   12100,,   21365,,    9265,,   12100,
"Immigrants by selected place of birth","    Portugal",,   38575,,   18485,,   20090,,   38575,,   18490,,   20090,
"Immigrants by selected place of birth","    Romania",,   12875,,    5690,,    7185,,   12875,,    5690,,    7185,
"Immigrants by selected place of birth","    Russian Federation",,   16225,,    6755,,    9470,,   16225,,    6755,,    9470,
"Immigrants by selected place of birth","    Serbia",57,    8525,,    4095,,    4430,,    8525,,    4095,,    4430,
"Immigrants by selected place of birth","    Ukraine",,   15775,,    7075,,    8705,,   15780,,    7075,,    8705,
"Immigrants by selected place of birth","    United Kingdom",58,   40295,,   19425,,   20870,,   40295,,   19430,,   20865,
"Immigrants by selected place of birth","    Other places of birth in Europe",,   39225,,   18350,,   20880,,   39230,,   18350,,   20880,
"Immigrants by selected place of birth","  Africa",,   77445,,   36520,,   40925,,   77445,,   36520,,   40925,
"Immigrants by selected place of birth","    Algeria",,     770,,     435,,     335,,     770,,     435,,     335,
"Immigrants by selected place of birth","    Egypt",,    6620,,    3490,,    3130,,    6625,,    3490,,    3135,
"Immigrants by selected place of birth","    Ethiopia",,    9080,,    4095,,    4985,,    9080,,    4095,,    4985,
"Immigrants by selected place of birth","    Kenya",,    4880,,    2195,,    2685,,    4880,,    2195,,    2690,
"Immigrants by selected place of birth","    Morocco",,    1850,,     885,,     965,,    1850,,     890,,     965,
"Immigrants by selected place of birth","    Nigeria",,    7605,,    3780,,    3830,,    7605,,    3780,,    3830,
"Immigrants by selected place of birth","    Somalia",,    9025,,    3605,,    5410,,    9025,,    3605,,    5415,
"Immigrants by selected place of birth","    South Africa; Republic of",,    5560,,    2710,,    2845,,    5560,,    2710,,    2850,
"Immigrants by selected place of birth","    Other places of birth in Africa",,   32055,,   15320,,   16740,,   32055,,   15320,,   16735,
"Immigrants by selected place of birth","  Asia",,  674495,,  314010,,  360485,,  674490,,  314010,,  360485,
"Immigrants by selected place of birth","    Afghanistan",,   12740,,    6455,,    6285,,   12740,,    6450,,    6285,
